C1H,9.2946966E-01,-4.0515527E-01,-3.6084434E+00,1.0723996E+01,-8.0076345E+00,-1.7578474E-04,1.3078318E-01,1.5697219E-20,-1.5776872E-20,-4.3435338E-22
C2H,-1.5001547E+00,7.7225100E+00,-1.5025459E+01,1.0004690E+01,-4.0118942E-01,5.0018780E-03,2.6837374E-01,7.0600685E-22,1.8243778E-20,-3.7903487E-22
C3H,7.6272775E+00,-5.2136982E+01,1.3560647E+02,-1.4835478E+02,5.6860842E+01,-5.0245474E-03,1.7151293E-01,-3.8309141E-21,5.7724859E-20,1.4282840E-21
C4H,-6.7261782E+00,3.0190399E+01,-6.8821121E+01,5.8569260E+01,-1.2050852E+01,6.7265743E-04,2.3663655E+00,-1.7740277E-20,1.1509596E-19,-1.0596764E-20
C1K,1.8981086E+00,8.8499803E-02,-1.8988544E+00,7.2738627E+00,-6.3094652E+00,-9.3810567E-03,3.8946185E-02,-3.3490598E-18,-2.3566736E-19,1.4396077E-20
C2K,3.5089750E-02,8.9590779E+00,-2.8044391E+01,3.6729522E+01,-1.6488546E+01,-2.3548983E-01,8.1475927E-02,2.4881797E-19,1.0549939E-17,2.8585476E-21
C3K,9.5378047E+00,-3.3829612E-01,2.6425638E+00,-6.0115957E+00,4.7327748E+00,2.1863065E-02,1.7924464E-05,1.4452723E-17,4.0542698E-17,-6.2020520E-23
C4K,1.2028664E+01,-1.7713380E+01,5.2668346E+01,-6.8561467E+01,3.0896985E+01,4.0007626E-01,1.3657620E-05,1.0370606E-17,-2.2426764E-17,3.1545805E-23
C1Li,-3.1313163E+00,1.1618682E+01,-1.2984562E+01,-9.7680262E+00,1.4675185E+01,1.9996914E-03,6.6040084E-01,-1.4278129E-23,1.7467998E-23,1.9612709E-23
C2Li,-8.5741747E-01,3.3202598E+00,-1.5068303E-01,-1.0655959E+01,1.0517312E+01,8.1049314E-04,2.7865458E-01,-1.3628123E-25,-2.0860747E-24,6.4531712E-24
C3Li,3.2154437E-01,1.5714594E+01,-8.6533369E+01,1.6153347E+02,-1.0022606E+02,-1.4522994E-04,1.3711073E-01,-1.5583999E-21,-6.7307627E-21,-2.2594348E-23
C4Li,-2.1019363E+00,5.9181478E+00,-1.5937158E+01,1.9500454E+01,-7.5711381E+00,2.6695468E-03,6.3428435E-01,8.4458542E-23,2.8399131E-23,7.8606205E-23
C1Lu,1.6595512E+00,-1.1351008E+00,7.8206625E+00,-1.3821553E+01,7.7953882E+00,-3.0066797E-03,3.7922517E-02,-2.6819773E-20,2.0198735E-19,1.5683527E-21
C2Lu,4.3227575E-01,-3.3261401E-01,1.9907779E+00,-1.3869659E+00,1.6185326E-01,2.0858493E-03,1.7619480E-01,3.6462175E-20,1.8519898E-19,6.0494295E-22
C3Lu,2.9722959E+00,-1.2743954E+01,1.9625110E+01,-1.3713183E+00,-1.1519810E+01,-1.5986034E-04,1.1370335E-01,-4.5956376E-21,2.7588145E-20,2.2066953E-21
C4Lu,-1.3569797E+00,-1.5468974E+01,5.8302014E+01,-9.6598288E+01,5.6860512E+01,5.4127923E-03,4.9649359E+00,-1.7342933E-18,-4.6235084E-18,-3.3948173E-19
H2H,-1.1435803E+01,9.1996529E+01,-2.7926131E+02,3.6601276E+02,-1.7543063E+02,3.1045691E-05,5.1136999E-01,-3.2671476E-20,-8.8284583E-20,-3.8670107E-20
H3H,-3.4755949E+00,1.3147650E+01,-1.0921893E+01,-1.2784209E+01,1.6600446E+01,-1.5689549E-03,2.4069886E-01,-2.4519234E-20,-1.1679077E-20,1.2057572E-20
H4H,2.8086044E+00,-5.1830223E+00,7.9717000E+00,-8.9092267E-01,-4.5467558E+00,-5.1700103E-03,7.7695021E-02,-1.3884403E-19,-4.1858496E-19,2.5632679E-21
H1K,4.4898309E-02,-2.4189304E+00,4.2079735E+00,6.5308869E-01,-2.8699978E+00,-1.0945580E-03,3.5294533E-01,5.0336074E-19,1.4773208E-18,-4.7883577E-20
H2K,-3.3301785E+00,2.7993312E+01,-1.1657754E+02,2.0229432E+02,-1.2486993E+02,2.3410316E-04,3.5598487E-01,-2.9492094E-20,-6.5559901E-20,-1.0338517E-19
H3K,-8.1195459E+00,4.1551086E+01,-1.0152436E+02,9.6786684E+01,-2.8706482E+01,1.5211959E-02,3.1532006E+00,-8.3603218E-20,-3.1416156E-18,3.8827159E-19
